,oxy1_adc,mV0_1,oxy2_adc,mV0_2
354,112,0.00175,110,0.001719
355,113,0.001766,110,0.001719
356,113,0.001766,111,0.001734
357,113,0.001766,109,0.001703
358,112,0.00175,112,0.00175
359,113,0.001766,110,0.001719
360,112,0.00175,111,0.001734
361,113,0.001766,111,0.001734
362,112,0.00175,110,0.001719
363,112,0.00175,110,0.001719
364,113,0.001766,110,0.001719
365,113,0.001766,110,0.001719
366,113,0.001766,111,0.001734
367,112,0.00175,111,0.001734
368,112,0.00175,110,0.001719
369,112,0.00175,111,0.001734
370,111,0.001734,110,0.001719
371,113,0.001766,110,0.001719
372,112,0.00175,110,0.001719
373,111,0.001734,110,0.001719
374,112,0.00175,111,0.001734
375,111,0.001734,110,0.001719
376,112,0.00175,110,0.001719
377,112,0.00175,110,0.001719
378,112,0.00175,109,0.001703
379,112,0.00175,111,0.001734
380,112,0.00175,110,0.001719
381,112,0.00175,110,0.001719
382,112,0.00175,110,0.001719
383,111,0.001734,110,0.001719
384,112,0.00175,111,0.001734
385,112,0.00175,110,0.001719
386,110,0.001719,110,0.001719
387,112,0.00175,110,0.001719
388,112,0.00175,110,0.001719
389,112,0.00175,110,0.001719
390,112,0.00175,110,0.001719
391,111,0.001734,110,0.001719
392,112,0.00175,109,0.001703
393,110,0.001719,110,0.001719
394,112,0.00175,110,0.001719
395,111,0.001734,109,0.001703
396,111,0.001734,109,0.001703
397,111,0.001734,109,0.001703
398,112,0.00175,110,0.001719
399,112,0.00175,110,0.001719
400,112,0.00175,110,0.001719
401,113,0.001766,110,0.001719
402,111,0.001734,109,0.001703
403,112,0.00175,110,0.001719
404,112,0.00175,109,0.001703
405,112,0.00175,110,0.001719
406,112,0.00175,109,0.001703
407,111,0.001734,109,0.001703
408,111,0.001734,108,0.001687
409,112,0.00175,110,0.001719
410,111,0.001734,109,0.001703
411,111,0.001734,109,0.001703
412,111,0.001734,109,0.001703
413,110,0.001719,110,0.001719
414,112,0.00175,109,0.001703
415,111,0.001734,109,0.001703
416,110,0.001719,109,0.001703
417,110,0.001719,110,0.001719
418,112,0.00175,110,0.001719
419,111,0.001734,108,0.001687
420,111,0.001734,110,0.001719
421,112,0.00175,109,0.001703
422,111,0.001734,109,0.001703
423,110,0.001719,109,0.001703
424,110,0.001719,108,0.001687
425,111,0.001734,109,0.001703
426,111,0.001734,109,0.001703
427,112,0.00175,109,0.001703
428,111,0.001734,108,0.001687
429,110,0.001719,109,0.001703
430,111,0.001734,109,0.001703
431,111,0.001734,109,0.001703
432,112,0.00175,109,0.001703
433,111,0.001734,110,0.001719
434,111,0.001734,109,0.001703
435,111,0.001734,109,0.001703
436,111,0.001734,109,0.001703
437,112,0.00175,109,0.001703
438,111,0.001734,110,0.001719
439,111,0.001734,108,0.001687
440,112,0.00175,109,0.001703
441,110,0.001719,108,0.001687
442,110,0.001719,108,0.001687
443,111,0.001734,109,0.001703
444,112,0.00175,108,0.001687
445,111,0.001734,109,0.001703
446,111,0.001734,108,0.001687
447,110,0.001719,110,0.001719
448,110,0.001719,109,0.001703
449,111,0.001734,108,0.001687
450,110,0.001719,108,0.001687
451,110,0.001719,108,0.001687
452,109,0.001703,108,0.001687
453,111,0.001734,109,0.001703
454,110,0.001719,108,0.001687
455,110,0.001719,108,0.001687
456,110,0.001719,109,0.001703
457,110,0.001719,109,0.001703
458,111,0.001734,108,0.001687
459,111,0.001734,109,0.001703
460,110,0.001719,109,0.001703
461,109,0.001703,109,0.001703
462,110,0.001719,108,0.001687
463,110,0.001719,109,0.001703
464,110,0.001719,109,0.001703
465,110,0.001719,108,0.001687
466,109,0.001703,109,0.001703
467,110,0.001719,109,0.001703
468,110,0.001719,109,0.001703
469,110,0.001719,108,0.001687
470,110,0.001719,108,0.001687
471,111,0.001734,108,0.001687
472,110,0.001719,109,0.001703
473,111,0.001734,108,0.001687
474,109,0.001703,110,0.001719
475,110,0.001719,109,0.001703
476,109,0.001703,109,0.001703
477,110,0.001719,108,0.001687
478,110,0.001719,108,0.001687
479,109,0.001703,108,0.001687
480,110,0.001719,109,0.001703
481,110,0.001719,108,0.001687
482,110,0.001719,108,0.001687
483,110,0.001719,109,0.001703
484,110,0.001719,108,0.001687
485,109,0.001703,107,0.001672
486,110,0.001719,108,0.001687
487,110,0.001719,108,0.001687
488,109,0.001703,108,0.001687
489,109,0.001703,109,0.001703
490,109,0.001703,109,0.001703
491,110,0.001719,107,0.001672
492,110,0.001719,108,0.001687
493,110,0.001719,107,0.001672
494,110,0.001719,108,0.001687
495,110,0.001719,108,0.001687
496,109,0.001703,108,0.001687
497,110,0.001719,109,0.001703
498,109,0.001703,108,0.001687
499,109,0.001703,108,0.001687
500,109,0.001703,108,0.001687
501,109,0.001703,108,0.001687
502,110,0.001719,108,0.001687
503,109,0.001703,108,0.001687
504,109,0.001703,108,0.001687
505,110,0.001719,108,0.001687
506,109,0.001703,108,0.001687
507,110,0.001719,107,0.001672
508,109,0.001703,108,0.001687
509,109,0.001703,107,0.001672
510,110,0.001719,107,0.001672
511,109,0.001703,108,0.001687
512,109,0.001703,109,0.001703
513,109,0.001703,108,0.001687
514,109,0.001703,109,0.001703
515,110,0.001719,107,0.001672
516,109,0.001703,108,0.001687
517,110,0.001719,108,0.001687
518,109,0.001703,108,0.001687
519,109,0.001703,107,0.001672
520,110,0.001719,108,0.001687
521,109,0.001703,107,0.001672
522,109,0.001703,107,0.001672
523,109,0.001703,108,0.001687
524,110,0.001719,108,0.001687
525,110,0.001719,108,0.001687
526,109,0.001703,106,0.001656
527,109,0.001703,108,0.001687
528,108,0.001687,108,0.001687
529,110,0.001719,107,0.001672
530,109,0.001703,108,0.001687
531,108,0.001687,109,0.001703
532,109,0.001703,107,0.001672
533,109,0.001703,108,0.001687
534,109,0.001703,107,0.001672
535,110,0.001719,108,0.001687
536,110,0.001719,108,0.001687
537,110,0.001719,108,0.001687
538,109,0.001703,108,0.001687
539,110,0.001719,107,0.001672
540,110,0.001719,107,0.001672
541,110,0.001719,108,0.001687
542,110,0.001719,107,0.001672
543,109,0.001703,107,0.001672
544,108,0.001687,108,0.001687
545,109,0.001703,108,0.001687
546,109,0.001703,107,0.001672
547,109,0.001703,108,0.001687
548,109,0.001703,107,0.001672
549,109,0.001703,106,0.001656
550,108,0.001687,106,0.001656
551,108,0.001687,109,0.001703
552,110,0.001719,107,0.001672
553,108,0.001687,107,0.001672
554,109,0.001703,107,0.001672
555,108,0.001687,107,0.001672
556,109,0.001703,108,0.001687
557,109,0.001703,107,0.001672
558,108,0.001687,107,0.001672
559,109,0.001703,107,0.001672
